sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: sample_processing_batch	characteristics: extracted_RNA_concentration	characteristics: extracted_RNA_concentration_unit	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD85_CD_quadriceps	GSM1466632_85CD.CEL	BXD85-quadriceps-CD	GSM1466632_85CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD85	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466632	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD85 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466632/suppl/GSM1466632_85CD.CEL.gz
BXD85_HFD_quadriceps	GSM1466633_85HFD.CEL	BXD85-quadriceps-HFD	GSM1466633_85HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD85	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466633	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD85 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466633/suppl/GSM1466633_85HFD.CEL.gz
BXD87_CD_quadriceps	GSM1466634_87CD.CEL	BXD87-quadriceps-CD	GSM1466634_87CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD87	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	62	ng/uL	2011-11-23		GSM1466634	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD87 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466634/suppl/GSM1466634_87CD.CEL.gz
BXD87_HFD_quadriceps	GSM1466635_87HFD.CEL	BXD87-quadriceps-HFD	GSM1466635_87HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD87	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	43	ng/uL	2011-11-23		GSM1466635	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD87 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466635/suppl/GSM1466635_87HFD.CEL.gz
BXD89_CD_quadriceps	GSM1466636_89CD.CEL	BXD89-quadriceps-CD	GSM1466636_89CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD89	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	25	ng/uL	2011-11-23		GSM1466636	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD89 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466636/suppl/GSM1466636_89CD.CEL.gz
BXD89_HFD_quadriceps	GSM1466637_89HFD.CEL	BXD89-quadriceps-HFD	GSM1466637_89HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD89	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	269	ng/uL	2012-08-08		GSM1466637	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD89 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466637/suppl/GSM1466637_89HFD.CEL.gz
BXD90_CD_quadriceps	GSM1466638_90CD.CEL	BXD90-quadriceps-CD	GSM1466638_90CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD90	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	15	ng/uL	2011-11-23		GSM1466638	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD90 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466638/suppl/GSM1466638_90CD.CEL.gz
BXD90_HFD_quadriceps	GSM1466639_90HFD.CEL	BXD90-quadriceps-HFD	GSM1466639_90HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD90	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	55	ng/uL	2011-11-23		GSM1466639	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD90 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466639/suppl/GSM1466639_90HFD.CEL.gz
BXD92a_CD_quadriceps	GSM1466640_92CD.CEL	BXD92a-quadriceps-CD	GSM1466640_92CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD92a	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	100	ng/uL	2011-11-22		GSM1466640	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD92a mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466640/suppl/GSM1466640_92CD.CEL.gz
BXD95_CD_quadriceps	GSM1466641_95CD.CEL	BXD95-quadriceps-CD	GSM1466641_95CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD95	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	199	ng/uL	2011-11-22		GSM1466641	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD95 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466641/suppl/GSM1466641_95CD.CEL.gz
BXD96_CD_quadriceps	GSM1466642_96CD.CEL	BXD96-quadriceps-CD	GSM1466642_96CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD96	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	45	ng/uL	2011-11-23		GSM1466642	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD96 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466642/suppl/GSM1466642_96CD.CEL.gz
BXD96_HFD_quadriceps	GSM1466643_96HFD.CEL	BXD96-quadriceps-HFD	GSM1466643_96HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD96	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	56	ng/uL	2011-11-23		GSM1466643	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD96 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466643/suppl/GSM1466643_96HFD.CEL.gz
BXD97_CD_quadriceps	GSM1466644_97CD.CEL	BXD97-quadriceps-CD	GSM1466644_97CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD97	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466644	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD97 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466644/suppl/GSM1466644_97CD.CEL.gz
BXD97_HFD_quadriceps	GSM1466645_97HFD.CEL	BXD97-quadriceps-HFD	GSM1466645_97HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD97	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466645	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD97 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466645/suppl/GSM1466645_97HFD.CEL.gz
BXD98_CD_quadriceps	GSM1466646_98CD.CEL	BXD98-quadriceps-CD	GSM1466646_98CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD98	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466646	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD98 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466646/suppl/GSM1466646_98CD.CEL.gz
BXD98_HFD_quadriceps	GSM1466647_98HFD.CEL	BXD98-quadriceps-HFD	GSM1466647_98HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD98	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466647	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD98 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466647/suppl/GSM1466647_98HFD.CEL.gz
