sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: sample_processing_batch	characteristics: extracted_RNA_concentration	characteristics: extracted_RNA_concentration_unit	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD50_CD_quadriceps	GSM1466590_50CD.CEL	BXD50-quadriceps-CD	GSM1466590_50CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD50	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466590	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD50 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466590/suppl/GSM1466590_50CD.CEL.gz
BXD51_CD_quadriceps	GSM1466591_51CD.CEL	BXD51-quadriceps-CD	GSM1466591_51CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD51	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	57	ng/uL	2011-11-22		GSM1466591	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD51 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466591/suppl/GSM1466591_51CD.CEL.gz
BXD51_HFD_quadriceps	GSM1466592_51HFD.CEL	BXD51-quadriceps-HFD	GSM1466592_51HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD51	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	50	ng/uL	2011-11-22		GSM1466592	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD51 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466592/suppl/GSM1466592_51HFD.CEL.gz
BXD55_CD_quadriceps	GSM1466593_55CD.CEL	BXD55-quadriceps-CD	GSM1466593_55CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD55	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	92	ng/uL	2012-08-08		GSM1466593	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD55 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466593/suppl/GSM1466593_55CD.CEL.gz
BXD55_HFD_quadriceps	GSM1466594_55HFD.CEL	BXD55-quadriceps-HFD	GSM1466594_55HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD55	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	105	ng/uL	2012-08-08		GSM1466594	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD55 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466594/suppl/GSM1466594_55HFD.CEL.gz
BXD56_CD_quadriceps	GSM1466595_56CD.CEL	BXD56-quadriceps-CD	GSM1466595_56CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD56	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-08		GSM1466595	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD56 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466595/suppl/GSM1466595_56CD.CEL.gz
BXD56_HFD_quadriceps	GSM1466596_56HFD.CEL	BXD56-quadriceps-HFD	GSM1466596_56HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD56	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-08		GSM1466596	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD56 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466596/suppl/GSM1466596_56HFD.CEL.gz
BXD60_CD_quadriceps	GSM1466597_60CD.CEL	BXD60-quadriceps-CD	GSM1466597_60CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD60	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	239	ng/uL	2011-11-22		GSM1466597	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD60 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466597/suppl/GSM1466597_60CD.CEL.gz
BXD61_CD_quadriceps	GSM1466598_61CD.CEL	BXD61-quadriceps-CD	GSM1466598_61CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD61	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	86	ng/uL	2011-11-22		GSM1466598	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD61 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466598/suppl/GSM1466598_61CD.CEL.gz
BXD61_HFD_quadriceps	GSM1466599_61HFD.CEL	BXD61-quadriceps-HFD	GSM1466599_61HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD61	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	57	ng/uL	2011-11-22		GSM1466599	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD61 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466599/suppl/GSM1466599_61HFD.CEL.gz
